sample_idx,orient_idx,setpoint,wall_r,roof_r,fr1_kh,fr2_kwh,fr1_SPACE1-1_kh,fr1_SPACE2-1_kh,fr1_SPACE3-1_kh,fr1_SPACE4-1_kh,fr1_SPACE5-1_kh
121,1,25.3191937841475,0.6403245013207197,2.1634547635912895,2496.7886524376136,68597.28,416.26986310616877,962.8780036311241,892.2153530829868,225.42543261733405,0.0
122,1,23.156232081353664,0.6403245013207197,2.1634547635912895,6941.179442679419,70025.06,1223.8200888042234,2407.034098142231,1947.4681685674932,1049.1465377799154,313.71054938555653
123,1,25.3191937841475,1.4975062850862741,2.1634547635912895,1870.796099814621,65111.16,290.7905920124231,739.9334138009218,701.2090701994318,138.8630238018443,0.0
124,1,25.3191937841475,0.6403245013207197,2.901522540487349,2347.614269357018,67288.94,379.40880620587075,917.9789318342582,858.5638344233116,191.66269689357736,0.0
125,1,23.156232081353664,1.4975062850862741,2.901522540487349,5842.926421767975,65219.5,965.411183902592,2148.976579809684,1654.1014491697733,841.1799875850452,233.25722130087973
126,2,23.62542804889381,1.8317394685000181,2.687806498259306,4910.569744433847,64247.27,412.218257134814,1436.0647025020887,1602.8700859673604,1376.2114218935365,83.20527693604753
127,2,23.62542804889381,1.8317394685000181,2.687806498259306,4910.569744433847,64247.27,412.218257134814,1436.0647025020887,1602.8700859673604,1376.2114218935365,83.20527693604753
128,2,25.01039625145495,1.8317394685000181,2.687806498259306,2479.316611671651,63438.94,87.74966080794364,872.2091740904788,768.7071038642259,750.6506729090028,0.0
129,2,23.62542804889381,2.0757529493421316,2.687806498259306,4814.496215897874,63916.72,400.5131855231392,1407.7390747543734,1579.5710810257215,1346.6035665667196,80.06930802792034
130,2,23.62542804889381,1.8317394685000181,2.142698927782476,5099.222404108504,65208.39,452.29024662769837,1487.846081468171,1629.372739259394,1418.1715205320606,111.54181622118033
131,2,25.01039625145495,2.0757529493421316,2.142698927782476,2529.8932593502695,64013.94,101.1322338274639,890.9085838005217,782.1431389160078,755.7093028062761,0.0
132,2,24.799905037507415,1.2571468483656645,1.0153611563146114,3777.8245809927726,70036.17,277.0480698922104,1238.611809086614,1134.6072479046502,1091.7310348862552,35.82641922304259
133,2,24.799905037507415,1.2571468483656645,1.0153611563146114,3777.8245809927726,70036.17,277.0480698922104,1238.611809086614,1134.6072479046502,1091.7310348862552,35.82641922304259
134,2,25.30953088030219,1.2571468483656645,1.0153611563146114,3020.187107431287,69744.5,168.29883441292088,1050.8378060561754,914.9109177869722,880.4199306827073,5.71961849251164
135,2,24.799905037507415,0.9697795696556568,1.0153611563146114,4000.0257348831374,71100.06,299.4312604130019,1302.6672372436817,1196.6637701056875,1160.8954295519632,40.36803756880263
136,2,24.799905037507415,1.2571468483656645,1.1640222249552608,3649.9219635194368,69108.39,253.57655975883225,1205.8633697948483,1102.187896628971,1063.3933883708448,24.900748965940796
137,2,25.30953088030219,0.9697795696556568,1.1640222249552608,3113.384173884978,69877.83,167.20692061332144,1080.6819519519677,942.0976387995411,919.9862685462283,3.4113939739192283
138,1,24.232604157179594,2.2141846995800734,3.8359913900494576,2827.4202658770428,62575.05,430.9519105040531,1122.1360620824928,979.3474774541194,294.9317489324167,0.0530669039606968
139,0,24.232604157179594,2.2141846995800734,3.8359913900494576,2364.3357344698807,61977.83,217.16826649914924,928.5196672514697,247.11633683040668,971.531463888855,0.0
